Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kilotonnes,27.812,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kilotonnes,6.2577,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kilotonnes,34.0697,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kilotonnes,9028.4589,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kilotonnes,9028.4589,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kilotonnes,28.267,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kilotonnes,6.3601,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kilotonnes,34.6271,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kilotonnes,9176.1906,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kilotonnes,9176.1906,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kilotonnes,28.6119,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kilotonnes,6.4377,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kilotonnes,35.0496,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kilotonnes,9288.1528,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kilotonnes,9288.1528,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kilotonnes,29.1403,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kilotonnes,6.5566,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kilotonnes,35.6968,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kilotonnes,9459.6651,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kilotonnes,9459.6651,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kilotonnes,27.1467,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kilotonnes,6.108,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kilotonnes,33.2548,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kilotonnes,8812.5092,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kilotonnes,8812.5092,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1966,1966,3050,FAO TIER 1,kilotonnes,27.1051,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1966,1966,3050,FAO TIER 1,kilotonnes,6.0986,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1966,1966,3050,FAO TIER 1,kilotonnes,33.2037,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1966,1966,3050,FAO TIER 1,kilotonnes,8798.9849,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1966,1966,3050,FAO TIER 1,kilotonnes,8798.9849,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1967,1967,3050,FAO TIER 1,kilotonnes,29.6307,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1967,1967,3050,FAO TIER 1,kilotonnes,6.6669,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1967,1967,3050,FAO TIER 1,kilotonnes,36.2976,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1967,1967,3050,FAO TIER 1,kilotonnes,9618.86,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1967,1967,3050,FAO TIER 1,kilotonnes,9618.86,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1968,1968,3050,FAO TIER 1,kilotonnes,31.1467,E,Estimated value,
